Id,Label
0,3
1,6
2,0
3,4
4,3
5,1
6,4
7,0
8,2
9,0
10,2
11,1
12,3
13,9
14,7
15,2
16,1
17,0
18,3
19,0
20,4
21,2
22,6
23,6
24,2
25,2
26,0
27,3
28,7
29,2
30,1
31,6
32,8
33,0
34,3
35,5
36,5
37,0
38,8
39,7
40,2
41,5
42,0
43,6
44,7
45,4
46,9
47,9
48,3
49,5
50,2
51,4
52,6
53,8
54,3
55,8
56,9
57,2
58,7
59,2
60,4
61,8
62,8
63,8
64,8
65,2
66,2
67,5
68,9
69,3
70,2
71,9
72,6
73,5
74,6
75,9
76,6
77,3
78,7
79,2
80,5
81,0
82,9
83,1
84,2
85,7
86,7
87,7
88,2
89,2
90,5
91,3
92,8
93,8
94,4
95,2
96,8
97,3
98,8
99,0
100,5
101,2
102,2
103,2
104,5
105,9
106,6
107,2
108,8
109,4
110,6
111,9
112,0
113,6
114,6
115,5
116,8
117,6
118,2
119,2
120,0
121,8
122,7
123,3
124,5
125,1
126,5
127,0
128,3
129,6
130,2
131,1
132,6
133,0
134,6
135,3
136,3
137,4
138,4
139,6
140,1
141,5
142,4
143,0
144,8
145,0
146,4
147,4
148,1
149,2
150,9
151,4
152,4
153,7
154,6
155,3
156,7
157,0
158,2
159,8
160,9
161,3
162,0
163,7
164,2
165,6
166,8
167,9
168,5
169,6
170,0
171,4
172,0
173,3
174,8
175,1
176,4
177,7
178,9
179,5
180,1
181,1
182,9
183,2
184,8
185,5
186,9
187,8
188,5
189,1
190,4
191,0
192,2
193,0
194,7
195,9
196,3
197,0
198,4
199,0
200,9
201,1
202,3
203,6
204,6
205,3
206,0
207,4
208,1
209,0
210,9
211,7
212,9
213,9
214,3
215,4
216,1
217,8
218,8
219,0
220,0
221,8
222,3
223,4
224,1
225,1
226,0
227,6
228,5
229,1
230,1
231,3
232,9
233,7
234,8
235,8
236,1
237,8
238,7
239,8
240,5
241,9
242,5
243,9
244,7
245,6
246,9
247,2
248,1
249,0
250,3
251,0
252,3
253,5
254,6
255,1
256,1
257,7
258,0
259,4
260,9
261,9
262,0
263,0
264,8
265,6
266,7
267,3
268,6
269,5
270,8
271,7
272,3
273,9
274,3
275,3
276,5
277,8
278,8
279,0
280,7
281,2
282,2
283,6
284,5
285,4
286,1
287,0
288,9
289,7
290,3
291,2
292,0
293,9
294,9
295,1
296,5
297,5
298,6
299,6
300,0
301,4
302,5
303,2
304,8
305,7
306,4
307,1
308,1
309,3
310,5
311,9
312,5
313,6
314,8
315,0
316,4
317,2
318,1
319,6
320,5
321,6
322,6
323,8
324,8
325,7
326,0
327,0
328,2
329,3
330,9
331,5
332,4
333,7
334,2
335,3
336,4
337,4
338,0
339,0
340,6
341,6
342,6
343,8
344,6
345,0
346,6
347,8
348,3
349,6
350,7
351,7
352,1
353,2
354,2
355,4
356,3
357,3
358,1
359,1
360,5
361,2
362,0
363,4
364,3
365,1
366,0
367,5
368,6
369,7
370,3
371,7
372,7
373,1
374,8
375,6
376,8
377,0
378,2
379,2
380,1
381,2
382,6
383,4
384,3
385,5
386,9
387,2
388,2
389,4
390,4
391,6
392,9
393,1
394,2
395,5
396,1
397,7
398,5
399,4
400,7
401,4
402,6
403,7
404,7
405,6
406,2
407,2
408,6
409,5
410,6
411,3
412,0
413,5
414,8
415,6
416,0
417,6
418,6
419,8
420,9
421,2
422,3
423,5
424,1
425,6
426,5
427,1
428,5
429,2
430,1
431,5
432,9
433,4
434,8
435,8
436,0
437,6
438,0
439,6
440,1
441,1
442,5
443,5
444,6
445,7
446,4
447,1
448,8
449,5
450,9
451,7
452,3
453,2
454,7
455,2
456,3
457,5
458,6
459,7
460,9
461,4
462,0
463,6
464,7
465,1
466,2
467,7
468,7
469,8
470,1
471,0
472,7
473,6
474,9
475,9
476,7
477,1
478,5
479,7
480,2
481,3
482,3
483,3
484,1
485,4
486,0
487,6
488,4
489,8
490,9
491,6
492,8
493,5
494,9
495,1
496,0
497,6
498,9
499,2
500,8
501,5
502,1
503,4
504,3
505,4
506,0
507,3
508,7
509,1
510,2
511,7
512,2
513,9
514,9
515,6
516,0
517,3
518,6
519,3
520,8
521,4
522,3
523,0
524,8
525,2
526,2
527,6
528,1
529,4
530,2
531,4
532,4
533,1
534,4
535,5
536,6
537,4
538,3
539,4
540,1
541,5
542,4
543,6
544,5
545,5
546,2
547,3
548,6
549,4
550,1
551,2
552,9
553,1
554,8
555,5
556,8
557,6
558,7
559,1
560,1
561,2
562,6
563,4
564,3
565,2
566,3
567,7
568,3
569,5
570,8
571,2
572,6
573,8
574,0
575,5
576,6
577,4
578,5
579,6
580,5
581,1
582,2
583,3
584,7
585,8
586,2
587,7
588,2
589,9
590,6
591,5
592,9
593,7
594,6
595,3
596,8
597,2
598,0
599,0
600,6
601,5
602,4
603,7
604,2
605,1
606,1
607,8
608,2
609,7
610,3
611,1
612,8
613,7
614,7
615,4
616,3
617,0
618,0
619,8
620,0
621,1
622,9
623,2
624,8
625,5
626,0
627,6
628,6
629,8
630,3
631,2
632,0
633,7
634,3
635,1
636,1
637,1
638,2
639,0
640,7
641,4
642,1
643,3
644,9
645,9
646,5
647,7
648,0
649,2
650,4
651,8
652,0
653,1
654,2
655,5
656,4
657,2
658,2
659,3
660,6
661,4
662,7
663,3
664,1
665,0
666,6
667,6
668,5
669,2
670,4
671,5
672,5
673,0
674,5
675,2
676,2
677,6
678,3
679,8
680,0
681,7
682,2
683,6
684,5
685,8
686,0
687,0
688,3
689,3
690,1
691,9
692,8
693,7
694,6
695,6
696,3
697,7
698,1
699,4
700,1
701,9
702,4
703,4
704,8
705,3
706,7
707,4
708,0
709,3
710,0
711,3
712,6
713,8
714,6
715,8
716,8
717,7
718,9
719,1
720,0
721,4
722,0
723,4
724,8
725,4
726,2
727,8
728,2
729,9
730,7
731,0
732,5
733,8
734,1
735,0
736,4
737,2
738,1
739,1
740,3
741,0
742,5
743,3
744,3
745,8
746,4
747,6
748,1
749,0
750,6
751,2
752,0
753,0
754,5
755,1
756,6
757,0
758,6
759,5
760,8
761,6
762,2
763,9
764,5
765,4
766,4
767,8
768,6
769,7
770,5
771,8
772,8
773,7
774,7
775,7
776,6
777,8
778,2
779,2
780,8
781,7
782,2
783,8
784,6
785,8
786,4
787,4
788,6
789,8
790,2
791,9
792,8
793,9
794,0
795,0
796,3
797,0
798,7
799,5
800,1
801,6
802,8
803,4
804,5
805,1
806,3
807,7
808,8
809,5
810,3
811,1
812,8
813,7
814,2
815,6
816,4
817,9
818,3
819,2
820,3
821,6
822,6
823,1
824,0
825,0
826,7
827,6
828,7
829,9
830,3
831,8
832,9
833,9
834,2
835,6
836,4
837,6
838,2
839,9
840,1
841,3
842,9
843,4
844,5
845,2
846,8
847,8
848,8
849,5
850,2
851,1
852,6
853,7
854,9
855,4
856,5
857,4
858,7
859,9
860,4
861,1
862,5
863,0
864,4
865,4
866,7
867,1
868,9
869,6
870,7
871,3
872,5
873,4
874,5
875,7
876,1
877,0
878,3
879,5
880,7
881,8
882,1
883,3
884,3
885,3
886,2
887,2
888,8
889,4
890,2
891,9
892,5
893,8
894,3
895,2
896,5
897,3
898,5
899,6
900,3
901,1
902,0
903,3
904,3
905,6
906,4
907,6
908,3
909,7
910,5
911,6
912,5
913,6
914,5
915,0
916,8
917,5
918,0
919,7
920,5
921,2
922,4
923,6
924,1
925,7
926,3
927,3
928,3
929,3
930,5
931,6
932,3
933,5
934,2
935,5
936,1
937,0
938,9
939,8
940,2
941,7
942,4
943,6
944,7
945,0
946,1
947,7
948,4
949,2
950,6
951,3
952,3
953,8
954,7
955,0
956,7
957,4
958,1
959,1
960,2
961,6
962,7
963,5
964,8
965,7
966,6
967,0
968,0
969,2
970,7
971,7
972,6
973,4
974,4
975,5
976,2
977,1
978,4
979,1
980,0
981,6
982,2
983,7
984,4
985,9
986,2
987,0
988,6
989,5
990,4
991,2
992,2
993,8
994,7
995,4
996,9
997,4
998,1
999,3
1000,7
1001,9
1002,7
1003,0
1004,2
1005,8
1006,7
1007,0
1008,5
1009,5
1010,8
1011,5
1012,1
1013,2
1014,7
1015,9
1016,3
1017,2
1018,9
1019,0
1020,4
1021,2
1022,1
1023,7
1024,1
1025,7
1026,2
1027,0
1028,4
1029,1
1030,1
1031,6
1032,2
1033,4
1034,6
1035,9
1036,2
1037,9
1038,2
1039,6
1040,8
1041,9
1042,0
1043,7
1044,5
1045,8
1046,7
1047,1
1048,4
1049,8
1050,3
1051,1
1052,8
1053,7
1054,9
1055,8
1056,9
1057,7
1058,0
1059,6
1060,3
1061,8
1062,2
1063,6
1064,6
1065,3
1066,7
1067,2
1068,4
1069,3
1070,3
1071,9
1072,6
1073,6
1074,8
1075,6
1076,6
1077,3
1078,6
1079,1
1080,6
1081,0
1082,3
1083,7
1084,6
1085,8
1086,7
1087,8
1088,5
1089,6
1090,2
1091,1
1092,9
1093,4
1094,6
1095,5
1096,4
1097,2
1098,3
1099,3
1100,0
1101,2
1102,5
1103,9
1104,8
1105,1
1106,4
1107,5
1108,9
1109,8
1110,3
1111,2
1112,6
1113,0
1114,3
1115,0
1116,5
1117,3
1118,2
1119,0
1120,3
1121,8
1122,6
1123,2
1124,3
1125,3
1126,8
1127,1
1128,0
1129,4
1130,1
1131,3
1132,1
1133,1
1134,9
1135,0
1136,7
1137,1
1138,3
1139,7
1140,1
1141,0
1142,9
